receiver,projectcode,deployDateTime,recoverDateTime,stationName,intendedLat,intendedLong,dropDeadDate,idPk,bottomDepth,riserLength,instrumentDepth,batteryInstallDate,checkCompleteTime,downloadDateTime,locationName,locationManager,locationDescription,deployLat,deployLong,recoverLat,recoverLong,distanceToMouth,dataDownloaded,voltageAtDownload,timeDrift,transmitProfile,transmitPowerOutput,logTemperatureStatsPeriod,logTemperatureSamplePeriod,logTiltSamplePeriod,logNoiseStatsPeriod,logNoiseSamplePeriod,logDepthStatsPeriod,logDepthSamplePeriod,comments,projectmember,receiverStatus,mooringType,externalId
VR2W-115441,2022_Beaver_Durme,"2022-02-14 12:00","2022-03-15 00:00","Beverburcht rechts",,,,25751,,,,,,"2022-03-15 00:00",,,,51.114085,3.9775536,,,,VR2W_115441_20220315_1.vrl,,,,,,,,,,,,,1,Active,bottom-mooring,
VR2W-115441,2022_Beaver_Durme,"2022-03-15 14:00","2022-03-22 00:00",Veerstraat,,,,25756,,,,,,"2022-03-22 00:00",,,,51.1106457,3.9763879,,,,VR2W_115441_20220322_1.vrl,,,,,,,,,,,,,1,Active,bottom-mooring,
VR2W-115441,2022_Beaver_Durme,"2022-03-22 00:00",,Veerstraat,,,,25770,,,,,,,,,,51.1106457,3.9763879,,,,,,,,,,,,,,,,,1,Active,bottom-mooring,
VR2W-122360,2022_Beaver_Durme,"2022-02-14 12:00","2022-03-15 00:00",Beverburcht,,,,25750,,,,,,"2022-03-15 00:00",,,,51.1157339,3.9777405,,,,VR2W_122360_20220315_1.vrl,,,,,,,,,,,,,1,Active,bottom-mooring,
VR2W-122360,2022_Beaver_Durme,"2022-03-15 12:00","2022-03-22 00:00",Pompgemaal,,,,25767,,,,,,"2022-03-22 00:00",,,,51.1220239,3.9793123,,,,VR2W_122360_20220322_1.vrl,,,,,,,,,,,,,1,Active,bottom-mooring,
VR2W-122360,2022_Beaver_Durme,"2022-03-22 00:00","2022-04-04 00:00",Pompgemaal,,,,25769,,,,,,"2022-04-04 00:00",,,,51.1220239,3.9793123,,,,VR2W_122360_20220404_1.vrl,,,,,,,,,,,,,1,Active,bottom-mooring,
VR2W-122360,2022_Beaver_Durme,"2022-04-04 00:00",,Pompgemaal,,,,25964,,,,,,,,,,51.1220239,3.9793123,,,,,,,,,,,,,,,,,1,Active,bottom-mooring,
VR2W-127731,2022_Beaver_Durme,"2022-02-14 12:00","2022-03-15 00:00","Beverburcht links",,,,25753,,,,,,"2022-03-15 00:00",,,,51.1168826,3.9793392,,,,VR2W_127731_20220315_1.vrl,,,,,,,,,,,,,1,Active,bottom-mooring,
VR2W-127731,2022_Beaver_Durme,"2022-03-15 12:00","2022-03-22 00:00","Beverburcht links",,,,25766,,,,,,"2022-03-22 00:00",,,,51.1168826,3.9793392,,,,VR2W_127731_20220322_1.vrl,,,,,,,,,,,,,1,Active,bottom-mooring,
VR2W-127731,2022_Beaver_Durme,"2022-03-22 00:00","2022-04-04 00:00","Beverburcht links",,,,25768,,,,,,"2022-04-04 00:00",,,,51.1168826,3.9793392,,,,VR2W_127731_20220404_1.vrl,,,,,,,,,,,,,1,Active,bottom-mooring,
VR2W-127731,2022_Beaver_Durme,"2022-04-04 00:00",,"Beverburcht links",,,,25965,,,,,,,,,,51.1168826,3.9793392,,,,,,,,,,,,,,,,,1,Active,bottom-mooring,
