bever;geslacht;leeftijd;x;y;datum;uur;gewicht;staartlengte;staartbreedte;lichaamslengte;Pit;DNA;Inzameling;Akoestisch;VHF;VHF kort;Eind VHF
BE1119;v;juveniel;51,11594;3,97761;1/03/2022;3:15:00;13;28;12;69;0006B8B70C;INBO0659;Telemetrievangst;A69-1601-52423;151192;104;
BE1120;v;juveniel;51,11747;3,97816;2/03/2022;0:31:00;12;26;11;65;0006B898F7;INBO0658;Telemetrievangst;A69-1601-2459;151020;100;
BE1121;v;;51,11747;3,97816;3/03/2022;0:58:00;17;28;12,5;73;0006B8A27A;INBO0673;Telemetrievangst;A69-1601-7798;151051;101;
BE1123;v;juveniel;51,2224;3,97889;28/03/2022;3:22:00;14;28;12;72;;INBO0653;Telemetrievangst;A69-1601-13630;151091;102;
BE1130;;juveniel;51,11725;3,97906;16/02/2023;0:53:00;11;24;10;68;00069AEC3E;;Telemetrievangst;;151280;202;14/04/2023
BE1131;m;;51,11725;3,97906;16/02/2023;4:21:00;29;31;16;93;00069B0165;;Telemetrievangst;;151310;203;26/03/2023
BE1132;;juveniel;51,11725;3,97906;17/02/2023;2:52:00;10,3;23;10;62;00069AFE6F;;Telemetrievangst;;;;
BE1133;;;51,11725;3,97906;19/02/2023;22:00:00;19,5;28,5;14;77;00069B10A1;;Telemetrievangst;;151231;201;15/03/2023
BE1134;;;51,11725;3,97906;21/02/2023;4:00:00;27,5;33;16;89;0069AF89D;;Telemetrievangst;;151350;204;19/03/2023
BE1131;m;;51,11725;3,97906;10/04/2023;7:44:00;;;;;00069B0165;;Telemetrievangst;;151350;204;
BE1130;;juveniel;51,11725;3,97906;14/04/2023;1:26:00;;;;;00069AEC3E;;Telemetrievangst;;151231;201;
BE1135;;juveniel;51,11725;3,97906;7/04/2023;1:49:00;12,6;27;12;72;00069B061D;;Telemetrievangst;;151310;203;
