WKT,Nummer,naam,Slot,Type,Doel,Opzet,Afbraak,Actief
"POINT (3.980176 51.1177384)",263.0,LOK_fotoval_02,244.0,Reconyx,Monitoring,1644796800000000,1647298800000000,0
"POINT (3.9803893 51.1184227)",262.0,LOK_fotoval_03,342.0,Reconyx,Monitoring,1644796800000000,,1
"POINT (3.9798371 51.1187962)",265.0,LOK_fotoval_04,345.0,Reconyx,Monitoring,1644796800000000,,1
"POINT (3.9793799 51.1173923)",264.0,LOK_fotoval_01,,Reconyx,Monitoring,1644796800000000,,1
"POINT (3.9777465 51.1170762)",76.0,Duiker,,Dörr,Monitoring,1646265600000000,1647298800000000,0
"POINT (3.9792175 51.1223657)",61.0,Betonoever pompgemaal Noord,,Dörr,Monitoring,1646265600000000,,1
"POINT (3.9776175 51.1159393)",64.0,Burcht,281.0,Dörr,Vangst,1644793200000000,1647298800000000,0
"POINT (3.9775866 51.115936)",121.0,Burcht val boven,,Dörr,Vangst,1646089200000000,1646262000000000,0
"POINT (3.9777328 51.1158804)",121.0,Burcht dubbel val oost,,Dörr,Vangst,1646262000000000,1647298800000000,0
"POINT (3.9776604 51.1158468)",65.0,Burcht dubbel val west,282.0,Dörr,Vangst,1646262000000000,1647298800000000,0
"POINT (3.9773023 51.1157655)",72.0,Val burcht links ,283.0,Dörr,Vangst,1644793200000000,1646262000000000,0
"POINT (3.9791235 51.1171293)",76.0,Val omgeknaagde wilg,284.0,Dörr,Vangst,1644793200000000,1646262000000000,0
"POINT (3.9781204 51.1174585)",65.0,Val sloot,282.0,Dörr,Vangst,1644793200000000,1647298800000000,0
"POINT (3.9798615 51.118783)",72.0,Val reconyx,,Dörr,Vangst,1646262000000000,1647298800000000,0
"POINT (3.9808271 51.1180339)",263.0,Herplaatsing 263 bocht,,Reconyx,Monitoring,1647298800000000,,1
"POINT (3.9777465 51.1170762)",76.0,Duiker omzet naar monitoring,,Dörr,Monitoring,1647298800000000,,1
"POINT (3.9776384 51.1159446)",64.0,Burcht omzet naar monitoring,,Dörr,Monitoring,1647298800000000,,1
"POINT (3.9788848 51.1222632)",120.0,Val pompgemaal,,Dörr,Vangst,1647298800000000,1649714400000000,0
"POINT (3.977725 51.1155944)",72.0,wissel aan boom,,Dörr,monitoring,1647298800000000,,1
