WKT,naam,beschrijving,Cameranummer,Slotnummer,Opzet,Afbraak,Actief
"POINT (3.9776124 51.1159436)",Zeilmeer01,Kooi bij uitgang grote burcht (Lok_Burcht),64.0,281,1644796800000000,1646262000000000,0
"POINT (3.9791713 51.1171132)",Zeilmeer03,Kooi bij afgeknaagde wilg (Lok_Burcht links),72.0,283,1644796800000000,1646265600000000,0
"POINT (3.9781186 51.1174741)",Zeilmeer04,Kooi in sloot (Lok_afgebeten wilg),76.0,284,1644796800000000,1646953200000000,0
"POINT (3.9772696 51.1157628)",Zeilmeer02,Kooi bij omgeknaagde boom aan burcht (Lok_watersloot),65.0,282,1644796800000000,1646265600000000,0
"POINT (3.9777245 51.1158784)",Zeilmeer05,Dubbele kooi bij burcht Oost,121.0,,1646265600000000,1647298800000000,0
"POINT (3.9776711 51.1158535)",Zeilmeer06,Dubbele kooi bij burcht West,65.0,282,1646265600000000,1647298800000000,0
"POINT (3.9798471 51.1187887)",Zeilmeer07,Val bij noordelijkste Reconyx,72.0,283,1646265600000000,1647298800000000,0
"POINT (3.9777675 51.1170759)",Zeilmeer08,Kooi aan uiteinde van betonnen duiker,76.0,,1646953200000000,1647298800000000,0
"POINT (3.9788924 51.122247)",Zeilmeer09,Wissel tegenover pompgemaal,65.0,,1647298800000000,1648431000000000,0
"POINT (3.9790609 51.1172586)",Zeilmeer10,Bamboe,121.0,347,1676415600000000,1677020400000000,0
"POINT (3.9786438 51.117539)",Zeilmeer11,Grachtje,120.0,336,1676415600000000,1677020400000000,0
"POINT (3.9775986 51.115938)",Zeilmeer12,Dieperik,76.0,344,1676415600000000,1677020400000000,0
