WKT,name,Datum,description,Type,Status
"POINT (3.9768597 51.1119029)",Punt 1,1645570800000000,Wissel,Wissel,Actief
"POINT (3.976939 51.1131715)",Point 1,1645570800000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9777713 51.1148422)",Point 2,1645570800000000,Wissel gebruikt,Wissel,Actief
"POINT (3.9792952 51.1163294)",Point 4,1645570800000000,Knaagspoor,Knaagspoor,Actief
"POINT (3.97937 51.122378)",Point 6,1645570800000000,Rustplaats,Rustplaats,Actief
"POINT (3.9797373 51.118953)",Point 8,1645628400000000,Grote plons,Waarneming,Actief
"POINT (3.9766993 51.1127954)",Punt 2,1645570800000000,Wissel,Wissel,Oud
"POINT (3.9778392 51.1157365)",Point 9,1645570800000000,Wissel,Wissel,Actief
"POINT (3.9772961 51.1157735)",Point 10,1645570800000000,Wissel,Wissel,Actief
"POINT (3.9774812 51.1158585)",Point 11,1645570800000000,Wissel,Wissel,Actief
"POINT (3.977626 51.1159242)",Point 12,1645570800000000,Wissel,Wissel,Actief
"POINT (3.9776756 51.1159571)",Point 13,1645570800000000,Burcht,Burcht,Actief
"POINT (3.9795939 51.1165265)",Point 14,1645570800000000,Knaagspoor,Knaagspoor,Actief
"POINT (3.9793476 51.1168577)",Point 15,1645570800000000,Burcht,Burcht,Actief
"POINT (3.9792113 51.1170112)",Point 16,1645570800000000,Wissel,Wissel,Actief
"POINT (3.9794045 51.1174141)",Point 19,1645570800000000,Wissel,Wissel,Actief
"POINT (3.980176 51.1177384)",Point 20,1645570800000000,Wissel,Wissel,Actief
"POINT (3.9807295 51.1181778)",Point 21,1645570800000000,Wissel,Wissel,Actief
"POINT (3.9798371 51.1187962)",Point 22,1645570800000000,Wissel,Wissel,Actief
"POINT (3.9793661 51.1174791)",Point 24,1645570800000000,Knaagspoor,Knaagspoor,Actief
"POINT (3.9800742 51.1177569)",Point 25,1645570800000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9806643 51.118173)",Point 26,1645570800000000,Knaagspoor,Knaagspoor,Actief
"POINT (3.9797711 51.1188111)",Point 27,1645570800000000,Knaagspoor,Knaagspoor,Actief
"POINT (3.9801037 51.1186006)",Point 28,1645570800000000,Wissel,Wissel,Actief
"POINT (3.9804417 51.118375)",Point 29,1645570800000000,Wissel,Wissel,Actief
"POINT (3.9779421 51.1172756)",Point 30,1645570800000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9776605 51.1173464)",Point 31,1645570800000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.980523 51.1206482)",Point 28,1646002800000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9806768 51.1206805)",Point 29,1646002800000000,Wissel,Wissel,Actief
"POINT (3.9805746 51.1208057)",Point 30,1646002800000000,Wissel,Wissel,Actief
"POINT (3.9805316 51.1208953)",Point 31,1646002800000000,Knaagspoor,Knaagspoor,Actief
"POINT (3.9805597 51.1208642)",Point 32,1646002800000000,Wissel,Wissel,Actief
"POINT (3.980392 51.121045)",Point 33,1646002800000000,Rustplaats,Rustplaats,Actief
"POINT (3.9803573 51.1210955)",Point 34,1646002800000000,Wissel,Wissel,Actief
"POINT (3.980287 51.1211447)",Point 35,1646002800000000,Wissel,Wissel,Actief
"POINT (3.9800137 51.1214055)",Point 36,1646002800000000,Wissel,Wissel,Actief
"POINT (3.979893 51.1215098)",Point 37,1646002800000000,Knaagspoor,Knaagspoor,Actief
"POINT (3.9797613 51.1216017)",Point 38,1646002800000000,Wissel,Wissel,Oud
"POINT (3.9793414 51.1219541)",Point 39,1646002800000000,Rustplaats,Rustplaats,Actief
"POINT (3.9793237 51.1220152)",Point 40,1646002800000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9792719 51.1220407)",Point 41,1646002800000000,Wissel,Wissel,Oud
"POINT (3.9792322 51.1220684)",Point 42,1646002800000000,Wissel,Wissel,Actief
"POINT (3.9787089 51.1221227)",Point 43,1646002800000000,Wissel,Wissel,Actief
"POINT (3.9777329 51.1220756)",Point 44,1646002800000000,Rustplaats,Rustplaats,Actief
"POINT (3.9774975 51.1222053)",Point 45,1646002800000000,Wissel,Wissel,Actief
"POINT (3.9743257 51.122468)",Point 46,1646002800000000,Knaagspoor,Knaagspoor,Actief
"POINT (3.977354 51.1220496)",Point 47,1646002800000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9789899 51.1223055)",Point 48,1646002800000000,Rustplaats,Rustplaats,Actief
"POINT (3.9789254 51.1222403)",Point 49,1646002800000000,Wissel,Wissel,Actief
"POINT (3.9787287 51.1223817)",Point 50,1646002800000000,Rustplaats,Rustplaats,Actief
"POINT (3.9785969 51.1224824)",Point 51,1646002800000000,Rustplaats,Rustplaats,Actief
"POINT (3.9783841 51.1226266)",Point 52,1646002800000000,Rustplaats,Rustplaats,Actief
"POINT (3.9774222 51.1239206)",Point 53,1646002800000000,Rustplaats,Rustplaats,Actief
"POINT (3.9791779 51.1283059)",Point 54,1646002800000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9786974 51.1281069)",Point 55,1646002800000000,Rustplaats,Rustplaats,Oud
"POINT (3.9775355 51.1266957)",Point 56,1646002800000000,Wissel,Wissel,Oud
"POINT (3.9770125 51.1267892)",Point 57,1646002800000000,Wissel,Wissel,Oud
"POINT (3.9765278 51.1271596)",Point 58,1646002800000000,Mais,Knaagspoor,Oud
"POINT (3.9767776 51.12664)",Point 59,1646002800000000,Wissel,Wissel,Oud
"POINT (3.9760115 51.1255394)",Point 60,1646002800000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9762432 51.1322363)",Point 61,1646002800000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9760003 51.133694)",Point 62,1646002800000000,Wissel,Wissel,Actief
"POINT (3.9755763 51.1343907)",Point 63,1646002800000000,Wissel,Wissel,Oud
"POINT (3.9756482 51.1344842)",Point 64,1646002800000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9742974 51.1352596)",Point 65,1646002800000000,Rustplaats,Rustplaats,Oud
"POINT (3.9737109 51.1356409)",Point 66,1646002800000000,Knaagspoor,Knaagspoor,Actief
"POINT (3.9737887 51.1355496)",Point 67,1646002800000000,Wissel,Wissel,Actief
"POINT (3.9735466 51.135672)",Point 68,1646002800000000,Wissel,Wissel,Actief
"POINT (3.973421 51.1357251)",Point 69,1646002800000000,Burcht,Burcht,Actief
"POINT (3.973056 51.1360316)",Point 70,1646002800000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9726461 51.1361398)",Point 71,1646002800000000,Wissel,Wissel,Oud
"POINT (3.9757598 51.1339672)",Point 72,1646002800000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9751311 51.1345759)",Point 73,1646002800000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9750686 51.1346214)",Point 74,1646002800000000,Wissel,Wissel,Actief
"POINT (3.9748976 51.1345265)",Point 75,1646002800000000,Knaagspoor,Knaagspoor,Actief
"POINT (3.9748955 51.1347189)",Point 76,1646002800000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9745107 51.134986)",Point 77,1646002800000000,Wissel,Wissel,Actief
"POINT (3.9748443 51.1343428)",Point 78,1646002800000000,Burcht,Burcht,Actief
"POINT (3.9803243 51.1215041)",Point 79,1646002800000000,Rustplaats,Rustplaats,Actief
"POINT (3.9806479 51.121242)",Point 80,1646002800000000,Wissel,Wissel,Actief
"POINT (3.9807658 51.1210159)",Point 81,1646002800000000,Rustplaats,Rustplaats,Actief
"POINT (3.9810231 51.1204484)",Point 82,1646002800000000,Knaagspoor,Knaagspoor,Actief
"POINT (3.9811281 51.1205588)",Point 83,1646002800000000,Rustplaats,Rustplaats,Actief
"POINT (3.9812938 51.1205343)",Point 84,1646002800000000,Wissel,Wissel,Actief
"POINT (3.9799731 51.1217884)",Point 85,1646002800000000,Wissel,Wissel,Actief
"POINT (3.979831 51.1218683)",Point 86,1646002800000000,Rustplaats,Rustplaats,Actief
"POINT (3.9796389 51.1220666)",Point 87,1646002800000000,Rustplaats,Rustplaats,Actief
"POINT (3.9795111 51.1221477)",Point 88,1646002800000000,Knaagspoor,Knaagspoor,Actief
"POINT (3.9789356 51.1225744)",Point 89,1646002800000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9786415 51.1228345)",Point 90,1646002800000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9781967 51.1232688)",Point 91,1646002800000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9775526 51.1166949)",Point 92,1646175600000000,Grote plons,Waarneming,Actief
"POINT (3.9776565 51.118742)",Point 93,1646694000000000,Wissel,Wissel,Actief
"POINT (3.9797019 51.1169628)",Point 94,1646694000000000,Wissel,Wissel,Actief
"POINT (3.9800331 51.1167507)",Point 95,1646694000000000,Wissel,Wissel,Actief
"POINT (3.9799301 51.1168636)",Point 96,1646694000000000,Wissel,Wissel,Actief
"POINT (3.9801026 51.1166659)",Point 97,1646694000000000,Wissel,Wissel,Actief
"POINT (3.9795651 51.1170913)",Point 98,1646694000000000,Wissel,Wissel,Actief
"POINT (3.9778083 51.1174226)",Point 99,1646694000000000,Wissel,Wissel,Actief
"POINT (3.9776825 51.117506)",Point 100,1646694000000000,Wissel,Wissel,Actief
"POINT (3.977697 51.1175765)",Point 101,1646694000000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9776789 51.1176686)",Point 102,1646694000000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9776818 51.1177322)",Point 103,1646694000000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9776857 51.1177712)",Point 104,1646694000000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9777022 51.1178108)",Point 105,1646694000000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9777553 51.1179242)",Point 106,1646694000000000,Wissel,Wissel,Actief
"POINT (3.9772086 51.1188192)",Point 107,1646694000000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9770386 51.1190046)",Point 108,1646694000000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9769252 51.1191753)",Point 109,1646694000000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9769503 51.1196006)",Point 110,1646694000000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.977402 51.1171086)",Point 111,1646694000000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9774067 51.1170311)",Point 112,1646694000000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9775776 51.1169482)",Point 113,1646694000000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9774818 51.1166775)",Point 114,1646694000000000,Knaagspoor,Knaagspoor,Actief
"POINT (3.9775348 51.1166652)",Point 115,1646694000000000,Burcht,Burcht,Actief
"POINT (3.9775755 51.1165552)",Point 116,1646694000000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9775998 51.1164813)",Point 117,1646694000000000,Knaagspoor,Knaagspoor,Oud
"POINT (3.9777302 51.1163319)",Point 118,1646694000000000,Knaagspoor,Knaagspoor,Oud
