Nummer,Bever,Datum,Uur,Camera
1,Litteken,2022-02-22,22:28,264
2,Litteken,2022-02-24,22:51,264
3,Litteken,2022-02-25,19:42,264
4,Litteken,2022-02-17,06:01,262
5,Litteken,2022-02-19,02:59,262
6,Litteken,2022-02-14,22:07,265
7,Litteken,2022-02-14,22:19,265
8,Litteken,2022-02-16,06:41,265
9,Litteken,2022-02-17,03:00,265
10,Litteken,2022-02-18,00:34,265
11,Litteken,2022-02-23,22:14,265
12,Litteken,2022-02-23,22:29,265
13,Litteken,2022-02-24,20:55,265
14,Ongemerkt,2022-03-08,00:04,61
15,Ongemerkt,2022-03-05,22:14,61
16,Litteken,2022-03-04,03:16,265
17,Litteken,2022-03-10,01:49,264
18,Litteken,2022-03-05,21:50,262
19,Gemerkt,2022-03-06,02:43,262
20,Litteken,2022-03-08,20:19,262
21,Gemerkt,2022-03-10,02:52,262
22,Gemerkt,2022-03-10,03:06,262
23,Ongemerkt,2022-03-12,20:07,262
24,Litteken,2022-03-12,20:20,262
25,Gemerkt,2022-03-12,20:26,262
26,Gemerkt,2022-03-12,20:34,262
27,Ongemerkt,2022-03-12,21:11,262
28,Ongemerkt,2022-03-12,21:31,262
29,Ongemerkt,2022-03-12,21:34,262
30,Ongemerkt,2022-03-12,21:34,262
31,Ongemerkt,2022-03-12,21:47,262
32,Ongemerkt,2022-03-13,01:05,262
33,Ongemerkt,2022-03-13,01:27,262
34,Ongemerkt,2022-03-13,01:47,262
35,Ongemerkt,2022-03-13,04:01,262
36,Ongemerkt,2022-03-13,04:32,262
37,Ongemerkt,2022-03-13,19:32,262
38,Ongemerkt,2022-03-13,20:38,262
39,Ongemerkt,2022-03-13,21:27,262
40,Gemerkt,2022-03-13,21:42,262
41,Gemerkt,2022-03-13,23:01,262
42,Gemerkt,2022-03-14,01:35,262
43,Ongemerkt,2022-03-14,01:36,262
44,Gemerkt,2022-03-14,01:40,262
45,Gemerkt,2022-03-14,02:35,262
46,Gemerkt,2022-03-14,02:38,262
47,BE1121,2022-03-14,02:43,262
48,Gemerkt,2022-03-14,03:11,262
49,Gemerkt,2022-03-14,03:58,262
50,Gemerkt,2022-03-14,04:35,262
51,Ongemerkt,2022-03-15,01:14,262
52,Ongemerkt,2022-03-15,22:31,61
53,Ongemerkt,2022-03-15,23:53,61
