"","x","y","name","Datum","Type","Status"
"1",3.9768597,51.1119029,"Punt 1",2022-02-22 15:00:00,"Wissel","Actief"
"2",3.976939,51.1131715,"Point 1",2022-02-22 15:00:00,"Knaagspoor","Oud"
"3",3.9777713,51.1148422,"Point 2",2022-02-22 15:00:00,"Wissel","Actief"
"4",3.9792952,51.1163294,"Point 4",2022-02-22 15:00:00,"Knaagspoor","Actief"
"5",3.97937,51.122378,"Point 6",2022-02-22 15:00:00,"Rustplaats","Actief"
"6",3.9797373,51.118953,"Point 8",2022-02-23 07:00:00,"Waarneming","Actief"
"7",3.9766993,51.1127954,"Punt 2",2022-02-22 15:00:00,"Wissel","Oud"
"8",3.9778392,51.1157365,"Point 9",2022-02-22 15:00:00,"Wissel","Actief"
"9",3.9772961,51.1157735,"Point 10",2022-02-22 15:00:00,"Wissel","Actief"
"10",3.9774812,51.1158585,"Point 11",2022-02-22 15:00:00,"Wissel","Actief"
"11",3.977626,51.1159242,"Point 12",2022-02-22 15:00:00,"Wissel","Actief"
"12",3.9776756,51.1159571,"Point 13",2022-02-22 15:00:00,"Burcht","Actief"
"13",3.9795939,51.1165265,"Point 14",2022-02-22 15:00:00,"Knaagspoor","Actief"
"14",3.9793476,51.1168577,"Point 15",2022-02-22 15:00:00,"Burcht","Actief"
"15",3.9792113,51.1170112,"Point 16",2022-02-22 15:00:00,"Wissel","Actief"
"16",3.9794045,51.1174141,"Point 19",2022-02-22 15:00:00,"Wissel","Actief"
"17",3.980176,51.1177384,"Point 20",2022-02-22 15:00:00,"Wissel","Actief"
"18",3.9807295,51.1181778,"Point 21",2022-02-22 15:00:00,"Wissel","Actief"
"19",3.9798371,51.1187962,"Point 22",2022-02-22 15:00:00,"Wissel","Actief"
"20",3.9793661,51.1174791,"Point 24",2022-02-22 15:00:00,"Knaagspoor","Actief"
"21",3.9800742,51.1177569,"Point 25",2022-02-22 15:00:00,"Knaagspoor","Oud"
"22",3.9806643,51.118173,"Point 26",2022-02-22 15:00:00,"Knaagspoor","Actief"
"23",3.9797711,51.1188111,"Point 27",2022-02-22 15:00:00,"Knaagspoor","Actief"
"24",3.9801037,51.1186006,"Point 28",2022-02-22 15:00:00,"Wissel","Actief"
"25",3.9804417,51.118375,"Point 29",2022-02-22 15:00:00,"Wissel","Actief"
"26",3.9779421,51.1172756,"Point 30",2022-02-22 15:00:00,"Knaagspoor","Oud"
"27",3.9776605,51.1173464,"Point 31",2022-02-22 15:00:00,"Knaagspoor","Oud"
"28",3.980523,51.1206482,"Point 28",2022-02-27 15:00:00,"Knaagspoor","Oud"
"29",3.9806768,51.1206805,"Point 29",2022-02-27 15:00:00,"Wissel","Actief"
"30",3.9805746,51.1208057,"Point 30",2022-02-27 15:00:00,"Wissel","Actief"
"31",3.9805316,51.1208953,"Point 31",2022-02-27 15:00:00,"Knaagspoor","Actief"
"32",3.9805597,51.1208642,"Point 32",2022-02-27 15:00:00,"Wissel","Actief"
"33",3.980392,51.121045,"Point 33",2022-02-27 15:00:00,"Rustplaats","Actief"
"34",3.9803573,51.1210955,"Point 34",2022-02-27 15:00:00,"Wissel","Actief"
"35",3.980287,51.1211447,"Point 35",2022-02-27 15:00:00,"Wissel","Actief"
"36",3.9800137,51.1214055,"Point 36",2022-02-27 15:00:00,"Wissel","Actief"
"37",3.979893,51.1215098,"Point 37",2022-02-27 15:00:00,"Knaagspoor","Actief"
"38",3.9797613,51.1216017,"Point 38",2022-02-27 15:00:00,"Wissel","Oud"
"39",3.9793414,51.1219541,"Point 39",2022-02-27 15:00:00,"Rustplaats","Actief"
"40",3.9793237,51.1220152,"Point 40",2022-02-27 15:00:00,"Knaagspoor","Oud"
"41",3.9792719,51.1220407,"Point 41",2022-02-27 15:00:00,"Wissel","Oud"
"42",3.9792322,51.1220684,"Point 42",2022-02-27 15:00:00,"Wissel","Actief"
"43",3.9787089,51.1221227,"Point 43",2022-02-27 15:00:00,"Wissel","Actief"
"44",3.9777329,51.1220756,"Point 44",2022-02-27 15:00:00,"Rustplaats","Actief"
"45",3.9774975,51.1222053,"Point 45",2022-02-27 15:00:00,"Wissel","Actief"
"46",3.9743257,51.122468,"Point 46",2022-02-27 15:00:00,"Knaagspoor","Actief"
"47",3.977354,51.1220496,"Point 47",2022-02-27 15:00:00,"Knaagspoor","Oud"
"48",3.9789899,51.1223055,"Point 48",2022-02-27 15:00:00,"Rustplaats","Actief"
"49",3.9789254,51.1222403,"Point 49",2022-02-27 15:00:00,"Wissel","Actief"
"50",3.9787287,51.1223817,"Point 50",2022-02-27 15:00:00,"Rustplaats","Actief"
"51",3.9785969,51.1224824,"Point 51",2022-02-27 15:00:00,"Rustplaats","Actief"
"52",3.9783841,51.1226266,"Point 52",2022-02-27 15:00:00,"Rustplaats","Actief"
"53",3.9774222,51.1239206,"Point 53",2022-02-27 15:00:00,"Rustplaats","Actief"
"54",3.9791779,51.1283059,"Point 54",2022-02-27 15:00:00,"Knaagspoor","Oud"
"55",3.9786974,51.1281069,"Point 55",2022-02-27 15:00:00,"Rustplaats","Oud"
"56",3.9775355,51.1266957,"Point 56",2022-02-27 15:00:00,"Wissel","Oud"
"57",3.9770125,51.1267892,"Point 57",2022-02-27 15:00:00,"Wissel","Oud"
"58",3.9765278,51.1271596,"Point 58",2022-02-27 15:00:00,"Knaagspoor","Oud"
"59",3.9767776,51.12664,"Point 59",2022-02-27 15:00:00,"Wissel","Oud"
"60",3.9760115,51.1255394,"Point 60",2022-02-27 15:00:00,"Knaagspoor","Oud"
"61",3.9762432,51.1322363,"Point 61",2022-02-27 15:00:00,"Knaagspoor","Oud"
"62",3.9760003,51.133694,"Point 62",2022-02-27 15:00:00,"Wissel","Actief"
"63",3.9755763,51.1343907,"Point 63",2022-02-27 15:00:00,"Wissel","Oud"
"64",3.9756482,51.1344842,"Point 64",2022-02-27 15:00:00,"Knaagspoor","Oud"
"65",3.9742974,51.1352596,"Point 65",2022-02-27 15:00:00,"Rustplaats","Oud"
"66",3.9737109,51.1356409,"Point 66",2022-02-27 15:00:00,"Knaagspoor","Actief"
"67",3.9737887,51.1355496,"Point 67",2022-02-27 15:00:00,"Wissel","Actief"
"68",3.9735466,51.135672,"Point 68",2022-02-27 15:00:00,"Wissel","Actief"
"69",3.973421,51.1357251,"Point 69",2022-02-27 15:00:00,"Burcht","Actief"
"70",3.973056,51.1360316,"Point 70",2022-02-27 15:00:00,"Knaagspoor","Oud"
"71",3.9726461,51.1361398,"Point 71",2022-02-27 15:00:00,"Wissel","Oud"
"72",3.9757598,51.1339672,"Point 72",2022-02-27 15:00:00,"Knaagspoor","Oud"
"73",3.9751311,51.1345759,"Point 73",2022-02-27 15:00:00,"Knaagspoor","Oud"
"74",3.9750686,51.1346214,"Point 74",2022-02-27 15:00:00,"Wissel","Actief"
"75",3.9748976,51.1345265,"Point 75",2022-02-27 15:00:00,"Knaagspoor","Actief"
"76",3.9748955,51.1347189,"Point 76",2022-02-27 15:00:00,"Knaagspoor","Oud"
"77",3.9745107,51.134986,"Point 77",2022-02-27 15:00:00,"Wissel","Actief"
"78",3.9748443,51.1343428,"Point 78",2022-02-27 15:00:00,"Burcht","Actief"
"79",3.9803243,51.1215041,"Point 79",2022-02-27 15:00:00,"Rustplaats","Actief"
"80",3.9806479,51.121242,"Point 80",2022-02-27 15:00:00,"Wissel","Actief"
"81",3.9807658,51.1210159,"Point 81",2022-02-27 15:00:00,"Rustplaats","Actief"
"82",3.9810231,51.1204484,"Point 82",2022-02-27 15:00:00,"Knaagspoor","Actief"
"83",3.9811281,51.1205588,"Point 83",2022-02-27 15:00:00,"Rustplaats","Actief"
"84",3.9812938,51.1205343,"Point 84",2022-02-27 15:00:00,"Wissel","Actief"
"85",3.9799731,51.1217884,"Point 85",2022-02-27 15:00:00,"Wissel","Actief"
"86",3.979831,51.1218683,"Point 86",2022-02-27 15:00:00,"Rustplaats","Actief"
"87",3.9796389,51.1220666,"Point 87",2022-02-27 15:00:00,"Rustplaats","Actief"
"88",3.9795111,51.1221477,"Point 88",2022-02-27 15:00:00,"Knaagspoor","Actief"
"89",3.9789356,51.1225744,"Point 89",2022-02-27 15:00:00,"Knaagspoor","Oud"
"90",3.9786415,51.1228345,"Point 90",2022-02-27 15:00:00,"Knaagspoor","Oud"
"91",3.9781967,51.1232688,"Point 91",2022-02-27 15:00:00,"Knaagspoor","Oud"
"92",3.9775526,51.1166949,"Point 92",2022-03-01 15:00:00,"Waarneming","Actief"
"93",3.9776565,51.118742,"Point 93",2022-03-07 15:00:00,"Wissel","Actief"
"94",3.9797019,51.1169628,"Point 94",2022-03-07 15:00:00,"Wissel","Actief"
"95",3.9800331,51.1167507,"Point 95",2022-03-07 15:00:00,"Wissel","Actief"
"96",3.9799301,51.1168636,"Point 96",2022-03-07 15:00:00,"Wissel","Actief"
"97",3.9801026,51.1166659,"Point 97",2022-03-07 15:00:00,"Wissel","Actief"
"98",3.9795651,51.1170913,"Point 98",2022-03-07 15:00:00,"Wissel","Actief"
"99",3.9778083,51.1174226,"Point 99",2022-03-07 15:00:00,"Wissel","Actief"
"100",3.9776825,51.117506,"Point 100",2022-03-07 15:00:00,"Wissel","Actief"
"101",3.977697,51.1175765,"Point 101",2022-03-07 15:00:00,"Knaagspoor","Oud"
"102",3.9776789,51.1176686,"Point 102",2022-03-07 15:00:00,"Knaagspoor","Oud"
"103",3.9776818,51.1177322,"Point 103",2022-03-07 15:00:00,"Knaagspoor","Oud"
"104",3.9776857,51.1177712,"Point 104",2022-03-07 15:00:00,"Knaagspoor","Oud"
"105",3.9777022,51.1178108,"Point 105",2022-03-07 15:00:00,"Knaagspoor","Oud"
"106",3.9777553,51.1179242,"Point 106",2022-03-07 15:00:00,"Wissel","Actief"
"107",3.9772086,51.1188192,"Point 107",2022-03-07 15:00:00,"Knaagspoor","Oud"
"108",3.9770386,51.1190046,"Point 108",2022-03-07 15:00:00,"Knaagspoor","Oud"
"109",3.9769252,51.1191753,"Point 109",2022-03-07 15:00:00,"Knaagspoor","Oud"
"110",3.9769503,51.1196006,"Point 110",2022-03-07 15:00:00,"Knaagspoor","Oud"
"111",3.977402,51.1171086,"Point 111",2022-03-07 15:00:00,"Knaagspoor","Oud"
"112",3.9774067,51.1170311,"Point 112",2022-03-07 15:00:00,"Knaagspoor","Oud"
"113",3.9775776,51.1169482,"Point 113",2022-03-07 15:00:00,"Knaagspoor","Oud"
"114",3.9774818,51.1166775,"Point 114",2022-03-07 15:00:00,"Knaagspoor","Actief"
"115",3.9775348,51.1166652,"Point 115",2022-03-07 15:00:00,"Burcht","Actief"
"116",3.9775755,51.1165552,"Point 116",2022-03-07 15:00:00,"Knaagspoor","Oud"
"117",3.9775998,51.1164813,"Point 117",2022-03-07 15:00:00,"Knaagspoor","Oud"
"118",3.9777302,51.1163319,"Point 118",2022-03-07 15:00:00,"Knaagspoor","Oud"
"119",3.97622,51.1157933,"Point 119",2022-03-07 15:00:00,"Knaagspoor","Oud"
"120",3.9760971,51.1159124,"Point 120",2022-03-07 15:00:00,"Knaagspoor","Oud"
"121",3.9758238,51.1159961,"Point 121",2022-03-07 15:00:00,"Knaagspoor","Oud"
"122",3.9758021,51.1162292,"Point 122",2022-03-07 15:00:00,"Knaagspoor","Oud"
"123",3.9748176,51.1162962,"Point 123",2022-03-07 15:00:00,"Wissel","Actief"
"124",3.9745523,51.116375,"Point 124",2022-03-07 15:00:00,"Knaagspoor","Oud"
"125",3.9743277,51.1164685,"Point 125",2022-03-07 15:00:00,"Knaagspoor","Oud"
"126",3.9741714,51.1162779,"Point 126",2022-03-07 15:00:00,"Knaagspoor","Oud"
"127",3.9743624,51.115969,"Point 127",2022-03-07 15:00:00,"Knaagspoor","Oud"
"128",3.9745115,51.1151747,"Point 128",2022-03-07 15:00:00,"Wissel","Actief"
"129",3.9848466,51.1208972,"Point 129",2022-03-07 15:00:00,"Knaagspoor","Oud"
"130",3.9836518,51.1213496,"Point 130",2022-03-07 15:00:00,"Knaagspoor","Actief"
"131",3.9781885,51.1251967,"Point 131",2022-03-07 15:00:00,"Wissel","Actief"
"132",3.9779188,51.1249748,"Point 132",2022-03-07 15:00:00,"Knaagspoor","Oud"
"133",3.9778143,51.1249726,"Point 133",2022-03-07 15:00:00,"Knaagspoor","Oud"
"134",3.9774765,51.1249559,"Point 134",2022-03-07 15:00:00,"Knaagspoor","Oud"
"135",3.9773574,51.1248557,"Point 135",2022-03-07 15:00:00,"Knaagspoor","Oud"
"136",3.9773329,51.1247504,"Point 136",2022-03-07 15:00:00,"Knaagspoor","Oud"
"137",3.9773226,51.1247064,"Point 137",2022-03-07 15:00:00,"Wissel","Oud"
"138",3.9773318,51.124652,"Point 138",2022-03-07 15:00:00,"Knaagspoor","Oud"
"139",3.9773835,51.1245565,"Point 139",2022-03-07 15:00:00,"Wissel","Oud"
"140",3.9774279,51.1244047,"Point 140",2022-03-07 15:00:00,"Knaagspoor","Oud"
"141",3.9778729,51.1246074,"Point 141",2022-03-07 15:00:00,"Knaagspoor","Oud"
"142",3.9776921,51.124134,"Point 142",2022-03-07 15:00:00,"Knaagspoor","Oud"
"143",3.9777375,51.1239979,"Point 143",2022-03-07 15:00:00,"Wissel","Actief"
"144",3.9782953,51.126254,"Point 144",2022-03-07 15:00:00,"Knaagspoor","Oud"
"145",3.9780763,51.1271339,"Point 145",2022-03-07 15:00:00,"Knaagspoor","Oud"
"146",3.9825974,51.1198998,"Point 146",2022-03-07 15:00:00,"Wissel","Actief"
"147",3.9824565,51.1198615,"Point 147",2022-03-07 15:00:00,"Knaagspoor","Actief"
"148",3.9825792,51.1200445,"Point 148",2022-03-07 15:00:00,"Wissel","Actief"
"149",3.9828863,51.120027,"Point 149",2022-03-07 15:00:00,"Knaagspoor","Actief"
"150",3.9828784,51.1201139,"Point 150",2022-03-07 15:00:00,"Wissel","Actief"
"151",3.9828189,51.1202629,"Point 151",2022-03-07 15:00:00,"Wissel","Actief"
"152",3.9827447,51.120295,"Point 152",2022-03-07 15:00:00,"Rustplaats","Actief"
"153",3.982687,51.1203388,"Point 153",2022-03-07 15:00:00,"Knaagspoor","Actief"
"154",3.9826428,51.1203516,"Point 154",2022-03-07 15:00:00,"Wissel","Actief"
"155",3.9825208,51.1203869,"Point 155",2022-03-07 15:00:00,"Knaagspoor","Actief"
"156",3.9823545,51.1204002,"Point 156",2022-03-07 15:00:00,"Wissel","Actief"
"157",3.9822432,51.1204224,"Point 157",2022-03-07 15:00:00,"Knaagspoor","Actief"
"158",3.982209,51.1202437,"Point 158",2022-03-07 15:00:00,"Knaagspoor","Actief"
"159",3.9818701,51.1196572,"Point 159",2022-03-07 15:00:00,"Knaagspoor","Actief"
"160",3.9819681,51.1193888,"Point 160",2022-03-07 15:00:00,"Wissel","Actief"
"161",3.9816438,51.1193178,"Point 161",2022-03-07 15:00:00,"Wissel","Actief"
"162",3.9809486,51.119472,"Point 162",2022-03-07 15:00:00,"Wissel","Actief"
"163",3.9806889,51.1194781,"Point 163",2022-03-07 15:00:00,"Wissel","Actief"
"164",3.980041,51.1194242,"Point 164",2022-03-07 15:00:00,"Wissel","Actief"
"165",3.9801812,51.1188622,"Point 165",2022-03-07 15:00:00,"Wissel","Actief"
"166",3.9807361,51.1185172,"Point 166",2022-03-07 15:00:00,"Wissel","Actief"
"167",3.9808793,51.1184052,"Point 167",2022-03-07 15:00:00,"Wissel","Actief"
"168",3.9811255,51.1182326,"Point 168",2022-03-07 15:00:00,"Wissel","Actief"
"169",3.9806249,51.1176005,"Point 169",2022-03-07 15:00:00,"Wissel","Actief"
"170",3.9802551,51.117505,"Point 170",2022-03-07 15:00:00,"Wissel","Actief"
"171",3.9796824,51.1172834,"Point 171",2022-03-07 15:00:00,"Knaagspoor","Oud"
"172",3.9789224,51.1159701,"Point 172",2022-03-07 15:00:00,"Knaagspoor","Oud"
"173",3.9781204,51.1154759,"Point 173",2022-03-07 15:00:00,"Knaagspoor","Oud"
"174",3.9781685,51.1146857,"Point 174",2022-03-07 15:00:00,"Rustplaats","Actief"
"175",3.9781214,51.1144071,"Point 175",2022-03-07 15:00:00,"Knaagspoor","Oud"
"176",3.9776491,51.11375,"Point 176",2022-03-07 15:00:00,"Rustplaats","Actief"
"177",3.9773524,51.1132534,"Point 177",2022-03-07 15:00:00,"Knaagspoor","Oud"
"178",3.977157,51.1129367,"Point 178",2022-03-07 15:00:00,"Knaagspoor","Oud"
"179",3.9760611,51.1111814,"Point 179",2022-03-07 15:00:00,"Knaagspoor","Actief"
"180",3.9769155,51.1113474,"Point 180",2022-03-07 15:00:00,"Rustplaats","Actief"
"181",3.9793645,51.1169421,"Point 181",2022-03-10 08:00:00,"Waarneming","Actief"
"182",3.9797248,51.1218925,"Point 182",2022-03-10 09:30:00,"Waarneming","Actief"
"183",3.9797431,51.1166657,"Punt 186",2022-03-12 10:00:00,"Waarneming","Actief"
"184",3.9794095,51.1219904,"Point 187",2022-03-13 10:00:00,"Waarneming","Actief"
"185",3.9773476,51.1170617,"Point 186",2022-03-12 15:00:00,"Burcht","Actief"
"186",3.9793979,51.1171212,"Point 187",2022-03-18 14:00:00,"Waarneming","Actief"
"187",3.9797332,51.1193335,"Point 188",2022-03-18 03:00:00,"Waarneming","Actief"
"188",3.9814499,51.1062014,"Point 189",2022-03-20 15:00:00,"Knaagspoor","Actief"
"189",3.9927119,51.1505278,"Point 190",2022-03-21 15:00:00,"Knaagspoor","Actief"
"190",3.9794412,51.117045,"Point 191",2022-03-25 11:10:00,"Waarneming","Actief"
"191",3.9803776,51.1177107,"Point 192",2022-03-25 11:20:00,"Waarneming","Actief"
"192",3.9774093,51.1165965,"Point 193",2022-03-24 15:00:00,"Waarneming","Actief"
"193",3.9792317,51.1222069,"Point 194",2022-03-28 15:15:00,"Waarneming","Actief"
"194",3.9809971,51.1181153,"Point 195",2022-03-28 15:45:00,"Waarneming","Actief"
"195",3.9795334,51.1173558,"Point 196",2022-03-28 15:35:00,"Waarneming","Actief"
"196",3.9771772,51.1248516,"Point 197",2022-03-28 17:00:00,"Waarneming","Actief"
"197",3.9775839,51.1171098,"Point 198",2022-03-28 19:20:00,"Waarneming","Actief"
"198",3.9776481,51.1176001,"Point 199",2022-03-28 19:45:00,"Waarneming","Actief"
"199",3.9775739,51.1170421,"Point 200",2022-03-28 20:10:00,"Waarneming","Actief"
"200",3.9775189,51.1160698,"Point 201",2022-03-28 20:20:00,"Waarneming","Actief"
"201",3.9794159,51.1172142,"Point 202",2022-03-30 12:50:00,"Waarneming","Actief"
"202",3.9807609,51.1177859,"Point 203",2022-03-30 13:00:00,"Waarneming","Actief"
"203",3.9798804,51.1190983,"Point 204",2022-03-30 01:30:00,"Waarneming","Actief"
"204",3.9807627,51.1207787,"Point 205",2022-03-30 14:25:00,"Waarneming","Actief"
"205",3.977495,51.1272606,"Point 206",2022-03-30 15:00:00,"Burcht","Actief"
"206",3.977861,51.126471,"Point 207",2022-03-30 16:40:00,"Waarneming","Actief"
"207",3.9809603,51.1178912,"Point 208",2022-03-30 17:30:00,"Waarneming","Actief"
"208",3.9794793,51.1172974,"Point 209",2022-03-30 17:50:00,"Waarneming","Actief"
"209",3.9808541,51.1401969,"Point 210",2022-04-11 15:00:00,"Waarneming","Mortality"
"210",3.9794437,51.1173211,"Point 212",2022-04-21 13:50:00,"Waarneming","Actief"
"211",3.9800437,51.1194239,"Point 212",2022-04-22 02:00:00,"Waarneming","Mortality"
"212",3.9781057,51.1150175,"Point 214",2022-04-26 12:30:00,"Waarneming","Actief"
"213",3.9795057,51.1171208,"Point 214",2022-05-01 12:00:00,"Waarneming","Actief"
"214",3.9807701,51.1185334,"Point 215",2022-05-01 12:10:00,"Waarneming","Actief"
"215",3.977925,51.1154304,"Point 216",2022-05-01 12:40:00,"Waarneming","Actief"
"216",3.9780277,51.1147638,"Point 217",2022-05-05 11:30:00,"Waarneming","Actief"
"217",3.979085,51.1162127,"Point 218",2022-05-05 11:55:00,"Waarneming","Actief"
"218",3.9777076,51.1152095,"Point 219",2022-05-05 12:00:00,"Waarneming","Actief"
"219",3.9777834,51.1149737,"Point 220",2022-05-05 12:05:00," bever niet zichtbaar"," mogelijks dagrustplaats"
"220",3.970404,51.1370697,"Punt 220",2022-05-11 15:00:00,"Burcht","Actief"
"221",3.9816866,51.1406084,"Punt 221",2022-04-11 15:00:00,"Burcht","Actief"
"222",3.9724712,51.136152,"Point 222",2022-05-16 11:35:00,"Waarneming","Actief"
"223",3.9714458,51.1367755,"Point 223",2022-05-16 11:45:00,"Waarneming","Actief"
"224",3.9826447,51.1202266,"Point 224",2022-05-16 14:25:00,"Waarneming","Actief"
"225",3.97194,51.1361485,"Point 225",2022-05-17 11:25:00,"Waarneming","Actief"
"226",3.9757962,51.1166923,"Point 226",2022-05-17 13:08:00,"Waarneming","Actief"
"227",3.9793404,51.1172184,"Point 227",2022-05-17 13:40:00,"Waarneming","Actief"
"228",3.9817696,51.1203809,"Point 228",2022-05-17 14:08:00,"Waarneming","Actief"
"229",3.9790166,51.1223438,"Point 229",2022-05-17 14:44:00,"Waarneming","Actief"
"230",3.9760591,51.1177255,"Point 230",2022-05-24 12:02:00,"Waarneming","Actief"
"231",3.9746771,51.116386,"Point 231",2022-05-24 12:20:00,"Wissel","Actief"
"232",3.9747015,51.1163369,"Point 232",2022-05-24 12:25:00,"Waarneming","Actief"
"233",3.9752568,51.1169058,"Point 233",2022-05-24 12:34:00,"Waarneming","Actief"
"234",3.9774873,51.1168355,"Point 234",2022-05-24 12:37:00,"Waarneming","Actief"
"235",3.977956,51.1171024,"Point 235",2022-05-24 12:45:00,"Waarneming","Actief"
"236",3.9803519,51.1205729,"Point 236",2022-05-29 13:02:00,"Waarneming","Actief"
"237",3.9750538,51.1345673,"Point 237",2022-04-28 15:59:00," youtube film joris everaert"," lokerse moervaartmeersen april-mei"
"238",3.9805963,51.1209943,"Point 238",2022-06-01 13:48:00,"Waarneming","Actief"
